mal_id,type,name,url
587,anime,Tomason,https://myanimelist.net/anime/producer/587/Tomason
723,anime,Hotline,https://myanimelist.net/anime/producer/723/Hotline
605,anime,C2C,https://myanimelist.net/anime/producer/605/C2C
111,anime,NHK,https://myanimelist.net/anime/producer/111/NHK
581,anime,Sparky Animation,https://myanimelist.net/anime/producer/581/Sparky_Animation
601,anime,ixtl,https://myanimelist.net/anime/producer/601/ixtl
805,anime,AIC Frontier,https://myanimelist.net/anime/producer/805/AIC_Frontier
334,anime,Ordet,https://myanimelist.net/anime/producer/334/Ordet
354,anime,Encourage Films,https://myanimelist.net/anime/producer/354/Encourage_Films
2281,anime,Rocen,https://myanimelist.net/anime/producer/2281/Rocen
803,anime,Trigger,https://myanimelist.net/anime/producer/803/Trigger
957,anime,Connect,https://myanimelist.net/anime/producer/957/Connect
949,anime,teamKG,https://myanimelist.net/anime/producer/949/teamKG
839,anime,LIDENFILMS,https://myanimelist.net/anime/producer/839/LIDENFILMS
1560,anime,Yaoyorozu,https://myanimelist.net/anime/producer/1560/Yaoyorozu
1013,anime,Opera House,https://myanimelist.net/anime/producer/1013/Opera_House
858,anime,Wit Studio,https://myanimelist.net/anime/producer/858/Wit_Studio
1569,anime,Seven Arcs Pictures,https://myanimelist.net/anime/producer/1569/Seven_Arcs_Pictures
1109,anime,Orange,https://myanimelist.net/anime/producer/1109/Orange
1271,anime,Assez Finaud Fabric,https://myanimelist.net/anime/producer/1271/Assez_Finaud_Fabric
894,anime,Graphinica,https://myanimelist.net/anime/producer/894/Graphinica
929,anime,Animation Do,https://myanimelist.net/anime/producer/929/Animation_Do
1169,anime,ILCA,https://myanimelist.net/anime/producer/1169/ILCA
2432,anime,happyproject,https://myanimelist.net/anime/producer/2432/happyproject
848,anime,Kazami Gakuen Koushiki Douga-bu,https://myanimelist.net/anime/producer/848/Kazami_Gakuen_Koushiki_Douga-bu
856,anime,Charaction,https://myanimelist.net/anime/producer/856/Charaction
1487,anime,Bouncy,https://myanimelist.net/anime/producer/1487/Bouncy
866,anime,Fanworks,https://myanimelist.net/anime/producer/866/Fanworks
1053,anime,Production IMS,https://myanimelist.net/anime/producer/1053/Production_IMS
1440,anime,Felix Film,https://myanimelist.net/anime/producer/1440/Felix_Film
1127,anime,Studio 3Hz,https://myanimelist.net/anime/producer/1127/Studio_3Hz
21,anime,Studio Ghibli,https://myanimelist.net/anime/producer/21/Studio_Ghibli
1229,anime,Pie in the sky,https://myanimelist.net/anime/producer/1229/Pie_in_the_sky
1197,anime,Steve N' Steven,https://myanimelist.net/anime/producer/1197/Steve_N_Steven
2703,anime,Oyster,https://myanimelist.net/anime/producer/2703/Oyster
1075,anime,C-Station,https://myanimelist.net/anime/producer/1075/C-Station
473,anime,Ascension,https://myanimelist.net/anime/producer/473/Ascension
1103,anime,TROYCA,https://myanimelist.net/anime/producer/1103/TROYCA
951,anime,NAZ,https://myanimelist.net/anime/producer/951/NAZ
169,anime,Fuji TV,https://myanimelist.net/anime/producer/169/Fuji_TV
1165,anime,Tri-Slash,https://myanimelist.net/anime/producer/1165/Tri-Slash
1087,anime,Lay-duce,https://myanimelist.net/anime/producer/1087/Lay-duce
1099,anime,Cyclone Graphics,https://myanimelist.net/anime/producer/1099/Cyclone_Graphics
1077,anime,MMDGP,https://myanimelist.net/anime/producer/1077/MMDGP
2075,anime,Taomee,https://myanimelist.net/anime/producer/2075/Taomee
852,anime,Nexus,https://myanimelist.net/anime/producer/852/Nexus
1195,anime,Creators in Pack,https://myanimelist.net/anime/producer/1195/Creators_in_Pack
1265,anime,Tomovies,https://myanimelist.net/anime/producer/1265/Tomovies
1067,anime,Rising Force,https://myanimelist.net/anime/producer/1067/Rising_Force
1237,anime,Millepensee,https://myanimelist.net/anime/producer/1237/Millepensee
898,anime,I.Gzwei,https://myanimelist.net/anime/producer/898/IGzwei
1278,anime,Signal.MD,https://myanimelist.net/anime/producer/1278/SignalMD
833,anime,Kyotoma,https://myanimelist.net/anime/producer/833/Kyotoma
1300,anime,Office Nobu,https://myanimelist.net/anime/producer/1300/Office_Nobu
1264,anime,EMT Squared,https://myanimelist.net/anime/producer/1264/EMT_Squared
291,anime,CoMix Wave Films,https://myanimelist.net/anime/producer/291/CoMix_Wave_Films
1135,anime,FOREST Hunting One,https://myanimelist.net/anime/producer/1135/FOREST_Hunting_One
2677,anime,Central Animation Studio,https://myanimelist.net/anime/producer/2677/Central_Animation_Studio
1266,anime,Studio! Cucuri,https://myanimelist.net/anime/producer/1266/Studio_Cucuri
1257,anime,A-Real,https://myanimelist.net/anime/producer/1257/A-Real
1005,anime,Oddjob,https://myanimelist.net/anime/producer/1005/Oddjob
1119,anime,Shuka,https://myanimelist.net/anime/producer/1119/Shuka
1244,anime,Studio VOLN,https://myanimelist.net/anime/producer/1244/Studio_VOLN
1281,anime,Office DCI,https://myanimelist.net/anime/producer/1281/Office_DCI
1360,anime,Hoods Drifters Studio,https://myanimelist.net/anime/producer/1360/Hoods_Drifters_Studio
1536,anime,Namu Animation,https://myanimelist.net/anime/producer/1536/Namu_Animation
1547,anime,Blade,https://myanimelist.net/anime/producer/1547/Blade
1325,anime,Haoliners Animation League,https://myanimelist.net/anime/producer/1325/Haoliners_Animation_League
1562,anime,Team YokkyuFuman,https://myanimelist.net/anime/producer/1562/Team_YokkyuFuman
1514,anime,Tengu Kobo,https://myanimelist.net/anime/producer/1514/Tengu_Kobo
1295,anime,PINE JAM,https://myanimelist.net/anime/producer/1295/PINE_JAM
1296,anime,Marza Animation Planet,https://myanimelist.net/anime/producer/1296/Marza_Animation_Planet
64,anime,Sotsu,https://myanimelist.net/anime/producer/64/Sotsu
2140,anime,Qianqi Animation,https://myanimelist.net/anime/producer/2140/Qianqi_Animation
1558,anime,TOCSIS,https://myanimelist.net/anime/producer/1558/TOCSIS
1063,anime,Calf Studio,https://myanimelist.net/anime/producer/1063/Calf_Studio
472,anime,Usagi Ou,https://myanimelist.net/anime/producer/472/Usagi_Ou
1828,anime,Lapin Track,https://myanimelist.net/anime/producer/1828/Lapin_Track
1299,anime,AXsiZ,https://myanimelist.net/anime/producer/1299/AXsiZ
1320,anime,Joker Films,https://myanimelist.net/anime/producer/1320/Joker_Films
1766,anime,Husio Studio,https://myanimelist.net/anime/producer/1766/Husio_Studio
1444,anime,Egg Firm,https://myanimelist.net/anime/producer/1444/Egg_Firm
1381,anime,GEMBA,https://myanimelist.net/anime/producer/1381/GEMBA
1471,anime,Platinum Vision,https://myanimelist.net/anime/producer/1471/Platinum_Vision
1379,anime,Zero-G,https://myanimelist.net/anime/producer/1379/Zero-G
2306,anime,LIDENFILMS Kyoto Studio,https://myanimelist.net/anime/producer/2306/LIDENFILMS_Kyoto_Studio
1291,anime,KOO-KI,https://myanimelist.net/anime/producer/1291/KOO-KI
1340,anime,Typhoon Graphics,https://myanimelist.net/anime/producer/1340/Typhoon_Graphics
1111,anime,DandeLion Animation Studio,https://myanimelist.net/anime/producer/1111/DandeLion_Animation_Studio
753,anime,PRA,https://myanimelist.net/anime/producer/753/PRA
1209,anime,Studio A-CAT,https://myanimelist.net/anime/producer/1209/Studio_A-CAT
1829,anime,Lesprit,https://myanimelist.net/anime/producer/1829/Lesprit
1661,anime,drop,https://myanimelist.net/anime/producer/1661/drop
2040,anime,Maro Studio,https://myanimelist.net/anime/producer/2040/Maro_Studio
1690,anime,Imagineer,https://myanimelist.net/anime/producer/1690/Imagineer
1396,anime,W-Toon Studio,https://myanimelist.net/anime/producer/1396/W-Toon_Studio
1673,anime,DMM.futureworks,https://myanimelist.net/anime/producer/1673/DMMfutureworks
2046,anime,Dazzling Star,https://myanimelist.net/anime/producer/2046/Dazzling_Star
1567,anime,Nut,https://myanimelist.net/anime/producer/1567/Nut
1353,anime,Issen,https://myanimelist.net/anime/producer/1353/Issen
1529,anime,Studio M2,https://myanimelist.net/anime/producer/1529/Studio_M2
1489,anime,Ripromo,https://myanimelist.net/anime/producer/1489/Ripromo
1286,anime,10Gauge,https://myanimelist.net/anime/producer/1286/10Gauge
1835,anime,CloverWorks,https://myanimelist.net/anime/producer/1835/CloverWorks
1393,anime,Geno Studio,https://myanimelist.net/anime/producer/1393/Geno_Studio
1860,anime,Magia Doraglier,https://myanimelist.net/anime/producer/1860/Magia_Doraglier
1853,anime,Saetta,https://myanimelist.net/anime/producer/1853/Saetta
1857,anime,Geek Toys,https://myanimelist.net/anime/producer/1857/Geek_Toys
1851,anime,Jumonji,https://myanimelist.net/anime/producer/1851/Jumonji
2037,anime,Okuruto Noboru,https://myanimelist.net/anime/producer/2037/Okuruto_Noboru
1357,anime,Craftar Studios,https://myanimelist.net/anime/producer/1357/Craftar_Studios
1849,anime,MASTER LIGHTS,https://myanimelist.net/anime/producer/1849/MASTER_LIGHTS
1861,anime,Animation Planet,https://myanimelist.net/anime/producer/1861/Animation_Planet
1324,anime,Shimogumi,https://myanimelist.net/anime/producer/1324/Shimogumi
2596,anime,Comma Studio,https://myanimelist.net/anime/producer/2596/Comma_Studio
1669,anime,production doA,https://myanimelist.net/anime/producer/1669/production_doA
1314,anime,Gaina,https://myanimelist.net/anime/producer/1314/Gaina
1813,anime,Studio Lings,https://myanimelist.net/anime/producer/1813/Studio_Lings
1794,anime,EKACHI EPILKA,https://myanimelist.net/anime/producer/1794/EKACHI_EPILKA
1887,anime,Brio Animation,https://myanimelist.net/anime/producer/1887/Brio_Animation
1838,anime,33 Collective,https://myanimelist.net/anime/producer/1838/33_Collective
1864,anime,Ezόla,https://myanimelist.net/anime/producer/1864/Ez%CF%8Cla
1890,anime,Tear Studio,https://myanimelist.net/anime/producer/1890/Tear_Studio
1871,anime,Studio W.Baba,https://myanimelist.net/anime/producer/1871/Studio_WBaba
1872,anime,P.I.C.S.,https://myanimelist.net/anime/producer/1872/PICS
437,anime,Kamikaze Douga,https://myanimelist.net/anime/producer/437/Kamikaze_Douga
1530,anime,Emon,https://myanimelist.net/anime/producer/1530/Emon
1693,anime,Studio Flad,https://myanimelist.net/anime/producer/1693/Studio_Flad
1769,anime,helo.inc,https://myanimelist.net/anime/producer/1769/heloinc
443,anime,Studio PuYUKAI,https://myanimelist.net/anime/producer/443/Studio_PuYUKAI
884,anime,Strawberry Meets Pictures,https://myanimelist.net/anime/producer/884/Strawberry_Meets_Pictures
1873,anime,Silver,https://myanimelist.net/anime/producer/1873/Silver
1874,anime,Arvo Animation,https://myanimelist.net/anime/producer/1874/Arvo_Animation
1974,anime,ENGI,https://myanimelist.net/anime/producer/1974/ENGI
1722,anime,Bibury Animation Studios,https://myanimelist.net/anime/producer/1722/Bibury_Animation_Studios
1692,anime,Revoroot,https://myanimelist.net/anime/producer/1692/Revoroot
1983,anime,Anima&Co.,https://myanimelist.net/anime/producer/1983/Anima_Co
